Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Rasputi54360630	"CUIDADO:
SURCO VIEJO Y BARRANCO:
1-Lavanderías clandestinas sábanas hospitales ?
2- Consultorios COVID-19 clandestinos, cerca a CONDOMINIOS.?
3-Parece que nadie controla.

PERO SE OBSERVAN A DIARIO LOS MOVIMIENTOS, VENTAJA SER CAMINANTE OBSERVADOR."	2020-06-28 16:15:40	es		0.0	0.0		Rasputin	Ciudadano que como muchos se indigna por la corrupción y abuso de quienes pueden hacer algo por el país pero que lamentablemente solo ven sus conveniencias	602.0	8.0	98.0	4.0	0.0	False		
@RadioHuancavilk	"Pence cancela eventos en Florida y Arizona ante repunte del COVID-19

https://t.co/Ag0S2rs6Kf https://t.co/zfj4gs8Yzm"	2020-06-28 16:15:39	es		0.0	0.0		Radio Huancavilca 830AM	830 AM. Tenemos Noticias, Deportes y Música de Ecuador y el mundo - https://t.co/bhzVEcQns3…	660098.0	1108.0	268.0	38228.0	192.0	False		
@DrNelsonRod	De acuerdo al Reglamento Sanitario Internacional los reportes tiene su formato y forma técnica,después que el MSP ha venido reportando todos esos casos como confirmados por PCR,que le van a decir a la OMS, porque esto cambia los indicadores nacionales sobre Covid 19. Inventos!!🤔	2020-06-28 16:15:35	es	DO	0.0	0.0		Nelson Rodríguez	Médico Pediatra, Boschista por ideales y convicción.	1580.0	318.0	377.0	1567.0	1.0	False		
@gsunflowerscy	La gran travesía de hoy; nos hicieron descarte de covid-19 a todos (mi papá, mi mamá, mi hermano y yo)	2020-06-28 16:15:33	es		0.0	0.0		🌻	Comunicadora 😊 | Mami de Lulú y Lía 🐶 | Me gusta los girasoles, Mickey Mouse y los sueños reales ✨ | Todo_Lo_cura_ el tiempo 🌻 | A big fan of @iamlp🧡	63630.0	32378.0	459.0	603.0	2.0	False		
@presidenciacr	"El MAG aprobó el miércoles anterior el “Protocolo del Sector Cafetalero para la Prevención del COVID-19”, dirigido a productores, recolectores, extensionistas, entre otros actores de la cadena de cara al inicio de la temporada de recolección del grano.

https://t.co/ccvq752cfG"	2020-06-28 16:15:31	es		1.0	0.0		Casa Presidencial 🇨🇷	Casa Presidencial de la República de Costa Rica	48135.0	438.0	700.0	229444.0	978.0	True		
@jpablonavarro	COVID-19: Chile sube al 6º lugar a nivel mundial con el mayor número de fallecidos por millón de habitantes. @DMatamala @tv_monica @alejandramatus https://t.co/gjiTxcia2j	2020-06-28 16:15:28	es		0.0	0.0		Juan Pablo Navarro	NO HAY PAZ SIN JUSTICIA. No más ciudadanos de primera y segunda clase. LA PANDEMIA NO HARÁ MÁS QUE CONFIRMAR LA NECESIDAD DE UNA NUEVA CONSTITUCIÓN.	1449.0	2143.0	10945.0	10017.0	3.0	False		
@integranteseco	y Mauricio Acevedo (cardiólogo) se refiere a la insalubridad del confinamiento y propone al dióxido de cloro como estrategia para hacer frente al COVID-19.	2020-06-28 16:15:26	es		0.0	0.0	@integranteseco	Programa Integrantes	"Programa radial conducido por Pedro Moreno los domingos de 7 a 9hs por AM 1220 @ecomedios1220. 
Dedicado a temas socioambientales 
#despertemos #ecologismo"	615.0	5.0	397.0	203.0	0.0	False		
@redaccionmedica	"#Coronavirus #Covid-19: 16 personas han necesitado una cama UCI en los últimos 7 días  

https://t.co/wDMBK3wbyR"	2020-06-28 16:15:24	es		0.0	0.0		Redacción Médica	Periódico online con toda la actualidad del sector sanitario. #medicina #enfermería #farmacia #sanidad #salud #pacientes	246469.0	7106.0	7719.0	74168.0	1665.0	False		
