Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@CovidMexico	"#ACTUALIZACIÓN GLOBAL 🌎
🗺️ Continentes
Europa: 
 🦠 1,651,884 ⚰️ 153,566
Norteamérica: 
 🦠 1,508,086 ⚰️ 90,522
Asia: 
 🦠 683,497 ⚰️ 22,446
Sudamérica: 
 🦠 312,208 ⚰️ 16,483
África: 
 🦠 66,952 ⚰️ 2,330
Oceanía: 
 🦠 8,549 ⚰️ 118

#COVID19 #COVIDー19 #Covid_19"	2020-05-11 18:18:44	es		0.0	0.0		Covid México	"Actualizaciones del COVID-19 para México (información verificada)
Desktop: https://t.co/gE2ph4RBTt
Móvil: https://t.co/qCqf3huN0h"	518.0	28.0	78.0	2334.0	9.0	False		
@Revolucion3_0	"África preocupa por la expansión de COVID­-19

https://t.co/YrHrIjH9w1"	2020-05-11 18:18:44	es		0.0	0.0		Revolución 3.0	Periodismo social, profundo y humano.	330306.0	9261.0	1796.0	142090.0	1066.0	False		
@TheLIBREProject	¿No puede pagar la renta porque su ingreso ha sido afectado por el COVID-19? Existen protecciones para inquilinos que viven en el Condado de San Mateo, siga los pasos en la imagen siguiente para conservar su hogar: https://t.co/ytsLHlxrhk	2020-05-11 18:18:42	es		0.0	0.0		LIBRE Project		152.0	9.0	32.0	21.0	1.0	False		
@PP_Bonares	"Desde @PP_Bonares exigimos la suspensión inmediata de la reunión convocada por el alcalde para la entrega de resoluciones de subevención. 

#AsíNo
#Covid_19 
#PopularesBonares https://t.co/hi4jC9Bcq1"	2020-05-11 18:18:41	es		0.0	0.0		PPBonares	Twitter oficial del Partido Popular de Bonares SÍGUENOS EN Facebook https://t.co/QS6KrhgQFx Y EN INSTAGRAM https://t.co/5AqnuFXqVY	41398.0	4433.0	3305.0	3530.0	33.0	False		
@Erict007	EEUU va a acusar a China de piratear estudios sobre vacuna de la COVID-19 (medios) https://t.co/NTIq5pQY8U vía @France24_es	2020-05-11 18:18:41	es		0.0	0.0		Eric		3044.0	1440.0	50.0	12.0	0.0	False		
@sorayaalcala	Aplastantes las estadísticas de pérdidas por #coronavirus en #EEUU los detalles aqui https://t.co/VCBLGkqIhd	2020-05-11 18:18:38	es		0.0	0.0		SorayaAlcalá	Syndicated #Columnist Founder-Editor Multi-Awarded  #ColumnaEstilos Media Specialist, Cision, PR Newswire, Self-Esteem, & Partnerships 🇻🇪 🇺🇸	153257.0	9190.0	12322.0	14413.0	352.0	False		
@CadenaCuscatlan	#SanMiguel Personal de la Tercera Brigada, continúan realizando patrullajes en diferentes colonias a fin de verificar que se cumplan las medidas para prevenir el contagio del COVID-19 https://t.co/x5endCArlF	2020-05-11 18:18:37	es		0.0	0.0		Radio Cuscatlán 98.5	"Radio Cuscatlán 98.5 Música, Noticias, Deportes.
Desde El Salvador para el mundo entero, con una selecta programación musical adulto joven en Español e Inglés."	126053.0	1588.0	455.0	10503.0	81.0	False		
@cris_argatea	"@Roberto_BsAs No hay problema te podes ir a Suecia en cualquier momento
https://t.co/eR86TNm0ig"	2020-05-11 18:18:37	es		0.0	0.0	@Roberto_BsAs	Cristina	Atea activista de ArgAtea, crítica sin blanco o negro, contra la intromisión religiosa en la legislación	3652.0	203.0	288.0	82.0	2.0	False		
@YJVW2021	LaHojillaenTV No entiendo como el Gobernador de Carabobo hace un ajuste en el precio del gas en un 100% en plena cuarentena, es contradictorio e inoportuno este aumento en este momento donde estamos en medio de una cuarentena en medio de la pandemia COVID-19.	2020-05-11 18:18:37	es		0.0	0.0		Yonathan Villegas		1775.0	1272.0	293.0	8.0	0.0	False		
